GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Direct(NGET),90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,
Direct(NGET),10629.4,10993.4,11593.4,15253.4,17233.4,22152.4,23452.4,28713.4,34213.4,36693.4,39513.4,42193.4,46493.4,46493.4,46841.4,51528.5,51528.5,52828.5,52828.5,53528.5,53528.5,53528.5,53528.5,53528.5,53528.5,53528.5,53528.5,53528.5,53528.5,53528.5,
Direct(SHETL),1583.5,2659.0,2658.5,3458.5,3558.5,3558.5,3618.5,3818.5,6368.5,10608.5,13608.5,14608.5,20563.5,22063.5,22063.5,22563.5,22563.5,22563.5,25063.5,25063.5,25063.5,25063.5,25063.5,25063.5,25063.5,25063.5,25063.5,25063.5,25063.5,25063.5,
Direct(SPTL),0.0,1080.0,1528.0,1528.0,1528.0,1528.0,1528.0,1528.0,1528.0,2728.0,5678.0,5678.0,7178.0,9098.0,9098.0,9548.0,9548.0,9548.0,9548.0,9548.0,9548.0,9548.0,9548.0,9548.0,9548.0,9548.0,9548.0,9548.0,9548.0,9548.0,
Dounreay,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Peterhead Grange,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,
Redmoss,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,
Bicker Fen,184.68,184.68,184.68,184.68,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,200.5800706,
Blyth 66kV,45.3,45.3,45.3,45.3,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,49.20011479,
Bramford,12.0,12.0,12.0,12.0,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,13.03314299,
Canterbury,139.5,139.5,139.5,139.5,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,151.5102873,
Connah's Quay,96.84210526,96.84210526,96.84210526,96.84210526,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,105.1797505,
Lackenby,62.0,62.0,62.0,62.0,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,67.33790546,
Norwich Main,76.0,76.0,76.0,76.0,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,82.54323895,
Pentir,63.15789474,63.15789474,63.15789474,63.15789474,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,68.59548943,
